
12t_agilent.bionet                      192.168.30.61                          
12tfticr64.bionet                       192.168.30.54                          
15t_fticr_2.bionet                      192.168.30.80                          
15tfticr64.bionet                       192.168.30.62                          
21tfticr.bionet                         192.168.30.60                          
21tvpro.bionet                          192.168.30.60                          
7t_fticr.bionet                         192.168.30.65                          
agilent_gc_ms_01.bionet                 192.168.30.69                          
agilent_gc_ms_02.bionet                 192.168.30.70                          
agilent_qqq_04.bionet                   192.168.30.71                          
agqtof01.bionet                         192.168.30.183                         
agqtof02.bionet                         192.168.30.55                          
agqtof03.bionet                         192.168.30.138                         
agqtof04.bionet                         192.168.30.117                         
agqtof05.bionet                         192.168.30.196                         
agtof03.bionet                          192.168.30.185                         
agtof05.bionet                          192.168.30.191                         
agtof06.bionet                          192.168.30.184                         
agtof07.bionet                          192.168.30.176                         
alder.bionet                            192.168.30.123                         
brukertof_01.bionet                     192.168.30.154                         
bsf2240-tecan.bionet                    192.168.30.152                         
cedar.bionet                            192.168.30.133                         
cheetah.bionet                          192.168.30.160                         
collectpal01.bionet                     192.168.30.134                         
columbia.bionet                         192.168.30.111                         
cougar.bionet                           192.168.30.159                         
covaris_01.bionet                       192.168.30.125                         
dms2.bionet                             192.168.30.32                          
doc.bionet                              192.168.30.67                          
draco.bionet                            192.168.30.49                          
earth.bionet                            192.168.30.89                          
einstein.bionet                         192.168.30.118                         
eksigent-2.bionet                       192.168.30.149                         
epmotion1.bionet                        192.168.30.188                         
epmotion2.bionet                        192.168.30.168                         
exact03.bionet                          192.168.30.187                         
exact04.bionet                          192.168.30.144                         
falcon.bionet                           192.168.30.128                         
fborbi.bionet                           192.168.30.151                         
fir.bionet                              192.168.30.139                         
firefly.bionet                          192.168.30.120                         
gcqe01.bionet                           192.168.30.104                         
gigasax.bionet                          192.168.30.68                          
gimli.bionet                            192.168.30.132                         
harrier.bionet                          192.168.30.145                         
hawk.bionet                             192.168.30.148                         
hiflow01.bionet                         192.168.30.186                         
hydra.bionet                            192.168.30.163                         
ims03_agqtof01.bionet                   192.168.30.129                         
ims04_agtof05.bionet                    192.168.30.167                         
ims05_agqtof03.bionet                   192.168.30.110                         
ims06_agtof07.bionet                    192.168.30.182                         
ims07_agtof04.bionet                    192.168.30.192                         
ims08_agqtof05.bionet                   192.168.30.193                         
jaguar.bionet                           192.168.30.161                         
kestrel.bionet                          192.168.30.82                          
kite.bionet                             192.168.30.135                         
laesi.bionet                            192.168.30.150                         
lcms.bionet                             192.168.30.177                         
leopard.bionet                          192.168.30.126                         
ltq10440.bionet                         192.168.30.92                          
ltq_1.bionet                            192.168.30.84                          
ltq_2.bionet                            192.168.30.88                          
ltq_3.bionet                            192.168.30.87                          
ltq_4.bionet                            192.168.30.94                          
ltq_etd_1.bionet                        192.168.30.114                         
ltq_orb_1.bionet                        192.168.30.96                          
ltq_orb_2.bionet                        192.168.30.109                         
ltq_orb_3.bionet                        192.168.30.78                          
lynx.bionet                             192.168.30.158                         
maxis_01.bionet                         192.168.30.178                         
metab_data.bionet                       192.168.30.108                         
metabpreplc01.bionet                    192.168.30.165                         
methow.bionet                           192.168.30.119                         
npibfb986.bionet                        192.168.30.201                         
oak.bionet                              192.168.30.137                         
osprey.bionet                           192.168.30.127                         
owl.bionet                              192.168.30.130                         
predator01.bionet                       192.168.30.90                          
prephplc1.bionet                        192.168.30.98                          
prephplc2.bionet                        192.168.30.99                          
prephplc3.bionet                        192.168.30.105                         
prephplc4.bionet                        192.168.30.181                         
prephplc5.bionet                        192.168.30.113                         
prismbb.bionet                          192.168.30.34                          
prismsupport.bionet                     192.168.30.36                          
prismsvn.bionet                         192.168.30.37                          
prismweb2.bionet                        192.168.30.32                          
proteineer01.bionet                     192.168.30.121                         
proteinscape.bionet                     192.168.30.179                         
proteinseqs.bionet                      192.168.30.66                          
proto-10.bionet                         192.168.30.141                         
proto-11.bionet                         192.168.30.18                          
proto-2.bionet                          192.168.30.13                          
proto-3.bionet                          192.168.30.14                          
